name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Lisa Melinda,366738920,USA,United States of America,Fishing,Trawler,422.0674500000001,c05e6e833-36b9-e4ed-a1cd-718f83506fdc,public-global-vessel-identity:v3.0
Muir Milach,367672390,USA,United States of America,Fishing,Trawler,419.9546444444441,4730b07a8-8377-06f2-24c0-79399bf2a64e,public-global-vessel-identity:v3.0
Ocean Rover,368032000,USA,United States of America,Fishing,Trawler,417.46133390388894,0b4bdcc68-8086-7e9a-a82d-75057af1e460,public-global-vessel-identity:v3.0
American Dynasty,368272000,USA,United States of America,Fishing,Trawler,416.1854701869446,60b6acf5e-e5f7-e7d9-fbd3-e663107983e2,public-global-vessel-identity:v3.0
Tabitha,368094990,USA,United States of America,Fishing,Trawler,413.5491000000002,173c23b2d-d925-c021-2ea8-5ba2e75585f2,public-global-vessel-identity:v3.0
Pacific Challenger,367326360,USA,United States of America,Fishing,Trawler,392.84424771166715,c50c30625-50b2-06ad-108e-58de59e7dcda,public-global-vessel-identity:v3.0
Nordic Star,367056452,USA,United States of America,Fishing,Trawler,382.01122111194445,0b0834471-1991-45db-b747-ef98c090ce5d,public-global-vessel-identity:v3.0
Alaska Ocean,368293000,USA,United States of America,Fishing,Trawler,365.56921287305545,1ea00063d-dec8-5259-30ec-4cf48dc1ed09,public-global-vessel-identity:v3.0
Mark I,303636000,USA,United States of America,Fishing,Trawler,354.43386666666646,f7a79cf89-9fa8-93c7-5b74-b2ae8aaee39f,public-global-vessel-identity:v3.0
Vanguard,303684000,USA,United States of America,Fishing,Trawler,296.74203611111113,14070552a-ab63-8336-ad9e-b45609d5e09d,public-global-vessel-identity:v3.0
New Life,367388280,USA,United States of America,Fishing,Trawler,278.32015555555546,3926fd4ed-dc74-38b6-e1c6-27f3a0672ccd,public-global-vessel-identity:v3.0
Starbound,367161000,USA,United States of America,Fishing,Trawler,254.9794527777778,db1cfbee2-29bf-5e3b-e80a-a3a62792749a,public-global-vessel-identity:v3.0
Traveler,367153430,USA,United States of America,Fishing,Trawler,246.35076030749988,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Pacific Fury,366978110,USA,United States of America,Fishing,Trawler,242.7227460169446,604b87500-0c17-a92b-14be-638d53866f0e,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,241.05883595138891,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Miss Berdie,368548000,USA,United States of America,Fishing,Trawler,238.05818793666677,98aad50e2-2696-6924-a71f-b2d8727ce79d,public-global-vessel-identity:v3.0
Arctic Fury,366468000,USA,United States of America,Fishing,Trawler,225.7210222966668,720db63ef-fb15-6d23-7893-d190ce3ec84d,public-global-vessel-identity:v3.0
Sea Storm,367709050,USA,United States of America,Fishing,Trawler,222.98249444444443,618fcf273-3fd9-29c1-ec2b-09ad0f32c254,public-global-vessel-identity:v3.0
Excellence,338162000,USA,United States of America,Fishing,Trawler,220.95068055555566,f4c37b1e1-14cd-40b6-80ad-9a41580169fd,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,207.81034722222222,2d173aca7-738a-6608-21f2-3672bba5e264,public-global-vessel-identity:v3.0
Kodiak Enterprise,368038000,USA,United States of America,Fishing,Trawler,192.24821944444423,021512b04-4abb-120f-21bd-47f6d55f8e23,public-global-vessel-identity:v3.0
