name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Muir Milach,367672390,USA,United States of America,Fishing,Trawler,544.4399999999999,4730b07a8-8377-06f2-24c0-79399bf2a64e,public-global-vessel-identity:v3.0
Lisa Melinda,366738920,USA,United States of America,Fishing,Trawler,410.9483333333332,c05e6e833-36b9-e4ed-a1cd-718f83506fdc,public-global-vessel-identity:v3.0
Phoenix,366946000,USA,United States of America,Fishing,Trawler,410.54194444444454,77ca7b27b-b0b9-3cae-4241-c26a07e7b461,public-global-vessel-identity:v3.0
Pegasus,368572000,USA,United States of America,Fishing,Trawler,404.7030555555555,29dc546a1-1a7f-e828-624e-404e686ca074,public-global-vessel-identity:v3.0
American Triumph,366047000,USA,United States of America,Fishing,Trawler,393.0275,9cd111a46-6768-574b-61c2-a766c548b7bd,public-global-vessel-identity:v3.0
Nordic Star,367056452,USA,United States of America,Fishing,Trawler,318.73083333333307,0b0834471-1991-45db-b747-ef98c090ce5d,public-global-vessel-identity:v3.0
Ocean Rover,368032000,USA,United States of America,Fishing,Trawler,265.81861111111095,0b4bdcc68-8086-7e9a-a82d-75057af1e460,public-global-vessel-identity:v3.0
Tabitha,368094990,USA,United States of America,Fishing,Trawler,257.3924999999999,173c23b2d-d925-c021-2ea8-5ba2e75585f2,public-global-vessel-identity:v3.0
Northern Eagle,368085000,USA,United States of America,Fishing,Trawler,231.24222222222207,a401e743a-a6e5-5102-c90e-c52bdcadddb1,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,195.28583333333327,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,191.271111111111,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Ossian,366773410,USA,United States of America,Fishing,Trawler,175.05527777777772,a30ac482e-e863-001e-346f-7e9e4dc62ebe,public-global-vessel-identity:v3.0
Mandy J,367664180,USA,United States of America,Fishing,Trawler,171.88444444444445,3bb7cece7-74fb-e5ee-4a64-e73fdf4960b0,public-global-vessel-identity:v3.0
Island Enterprise,368037000,USA,United States of America,Fishing,Trawler,163.00611111111118,c7e7f3ac5-55a1-072d-9dd6-e1ad6514f94c,public-global-vessel-identity:v3.0
Starbound,367161000,USA,United States of America,Fishing,Trawler,138.3844444444444,db1cfbee2-29bf-5e3b-e80a-a3a62792749a,public-global-vessel-identity:v3.0
Miss-Sarah,368206000,USA,United States of America,Fishing,Trawler,130.69944444444445,450f24d03-3933-5933-177e-956425510f8d,public-global-vessel-identity:v3.0
Alaska Ocean,368293000,USA,United States of America,Fishing,Trawler,127.84194444444441,1ea00063d-dec8-5259-30ec-4cf48dc1ed09,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,126.18888888888888,2d173aca7-738a-6608-21f2-3672bba5e264,public-global-vessel-identity:v3.0
Cap Elza,367701130,USA,United States of America,Fishing,Trawler,116.11111111111111,e3cee92bf-f477-e94a-1125-51e450064f2e,public-global-vessel-identity:v3.0
Ms Julie,366842490,USA,United States of America,Fishing,Trawler,108.62138888888894,f8949b9b3-3ece-8bfa-cc04-5187c799be58,public-global-vessel-identity:v3.0
Tauny Ann,367019070,USA,United States of America,Fishing,Fishing,105.33722222222222,242fa3fbf-fa03-eb47-5855-f0880b8e7acf,public-global-vessel-identity:v3.0
Pacific Ram,338494100,USA,United States of America,Fishing,Trawler,102.83611111111108,4a768058a-a4b8-35c3-27c7-4c0eee5ae936,public-global-vessel-identity:v3.0
American Dynasty,368272000,USA,United States of America,Fishing,Trawler,98.58222222222223,60b6acf5e-e5f7-e7d9-fbd3-e663107983e2,public-global-vessel-identity:v3.0
Last Straw,366245070,USA,United States of America,Fishing,Trawler,98.00305555555555,ab1f9d1fb-bafe-e542-b0f2-a41d6c5bb85b,public-global-vessel-identity:v3.0
Texas Lady,367721920,USA,United States of America,Fishing,Trawler,95.37861111111111,53f8f2ab3-3e51-38b3-3d93-8993ea1aa346,public-global-vessel-identity:v3.0
Coho,367331760,USA,United States of America,Fishing,Trawler,93.17833333333331,23f8d2c62-2a1e-d203-5be1-7fcc324f1c9b,public-global-vessel-identity:v3.0
Miss Berdie,368548000,USA,United States of America,Fishing,Trawler,89.18194444444448,98aad50e2-2696-6924-a71f-b2d8727ce79d,public-global-vessel-identity:v3.0
Dusk,366744320,USA,United States of America,Fishing,Trawler,88.65833333333337,0da11ca87-7b04-66e1-8fdc-745e0a82a570,public-global-vessel-identity:v3.0
Bernadette,366233570,USA,United States of America,Fishing,Trawler,87.14583333333336,454a28f85-56e4-93cb-efa6-ff786439e8da,public-global-vessel-identity:v3.0
Excalibur,367664560,USA,United States of America,Fishing,Trawler,72.38166666666667,a008da33f-fcb9-e953-1ee5-f0e7046bd69c,public-global-vessel-identity:v3.0
Predator,368565000,USA,United States of America,Fishing,Trawler,59.36722222222223,edae4cd05-50b0-1691-27b2-67c10efe1418,public-global-vessel-identity:v3.0
Northern Ram,368371000,USA,United States of America,Fishing,Trawler,59.19666666666669,b32f754a6-68af-87a8-4102-e25b4442e462,public-global-vessel-identity:v3.0
Nordic Fury,366978060,USA,United States of America,Fishing,Trawler,59.16444444444444,79d7c1cb7-7453-f606-3585-f5f2c680e84b,public-global-vessel-identity:v3.0
Traveler,367153430,USA,United States of America,Fishing,Trawler,58.79361111111112,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Pacific,366207650,USA,United States of America,Fishing,Trawler,54.774722222222245,7656e7e08-8d6f-76a2-9ba1-cc788aac94da,public-global-vessel-identity:v3.0
Galway Bay,367320010,USA,United States of America,Fishing,Trawler,52.193888888888885,d30f480d3-35cc-54e7-91f9-41b9528296cc,public-global-vessel-identity:v3.0
American Beauty,367479000,USA,United States of America,Fishing,Trawler,51.13527777777779,c174ac136-6c0c-48f7-865c-8d8818c18615,public-global-vessel-identity:v3.0
Carter Jon,366969110,USA,United States of America,Fishing,Fishing,43.416111111111114,a87606a32-2ee3-bfc2-20bc-3397a7efb0bd,public-global-vessel-identity:v3.0
Malolo,366872090,USA,United States of America,Fishing,Pole and line,42.897222222222226,b05c670b7-732b-409f-3324-85fd6c39f984,public-global-vessel-identity:v3.0
Ocean Hunter,367638480,USA,United States of America,Fishing,Trawler,42.23222222222222,a77bf9611-136e-74f8-3636-43ecc219360e,public-global-vessel-identity:v3.0
Majesty,367352000,USA,United States of America,Fishing,Trawler,39.639722222222225,e258e2fdb-b635-d70e-90d2-9aacacc3dc11,public-global-vessel-identity:v3.0
Pacific Future,367046890,USA,United States of America,Fishing,Trawler,35.09999999999999,0493a33b0-035d-1477-791f-2ae4c7373295,public-global-vessel-identity:v3.0
Raven,367774000,USA,United States of America,Fishing,Trawler,33.27972222222222,2a4e096d4-4b9e-b3e3-01bd-585e21eaccbd,public-global-vessel-identity:v3.0
Marathon,367085290,USA,United States of America,Fishing,Trawler,32.6325,e7e88d830-0001-9d67-5620-ac72876ef65f,public-global-vessel-identity:v3.0
Sea Storm,367709050,USA,United States of America,Fishing,Trawler,32.24138888888889,618fcf273-3fd9-29c1-ec2b-09ad0f32c254,public-global-vessel-identity:v3.0
Arctic Fury,366468000,USA,United States of America,Fishing,Trawler,30.781944444444445,720db63ef-fb15-6d23-7893-d190ce3ec84d,public-global-vessel-identity:v3.0
Maverick,367384460,USA,United States of America,Fishing,Fixed gear,30.316944444444445,93388cbcd-d95f-6cee-85ac-91df76dc396d,public-global-vessel-identity:v3.0
Queen Corinne,367711540,USA,United States of America,Fishing,Trawler,25.382500000000004,6eb77c234-4eb2-dba9-3dd7-92a7b4e3c44e,public-global-vessel-identity:v3.0
Stormie C,367635760,USA,United States of America,Fishing,Fishing,24.72083333333333,fee5610c9-94b5-f009-f6d5-700b7f35fb79,public-global-vessel-identity:v3.0
