name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Ms Julie,366842490,USA,United States of America,Fishing,Trawler,160.55055555555555,3fa7d72ec-c7f5-663a-3efc-cec50a8b0127,public-global-vessel-identity:v3.0
Pacific,366207650,USA,United States of America,Fishing,Trawler,142.2666666666666,7656e7e08-8d6f-76a2-9ba1-cc788aac94da,public-global-vessel-identity:v3.0
Dusk,366744320,USA,United States of America,Fishing,Trawler,136.02166666666668,3b050aeb8-8e91-303c-d249-266cd1a11252,public-global-vessel-identity:v3.0
Island Enterprise,368037000,USA,United States of America,Fishing,Trawler,131.38055555555553,c7e7f3ac5-55a1-072d-9dd6-e1ad6514f94c,public-global-vessel-identity:v3.0
Kodiak Enterprise,368038000,USA,United States of America,Fishing,Trawler,118.20111111111109,021512b04-4abb-120f-21bd-47f6d55f8e23,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,111.60694444444444,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Ocean Hunter,367638480,USA,United States of America,Fishing,Trawler,107.19500000000002,a77bf9611-136e-74f8-3636-43ecc219360e,public-global-vessel-identity:v3.0
Mandy J,367147830,USA,United States of America,Fishing,Trawler,90.43805555555554,c47928cc8-8574-d955-7270-f7209e938bd0,public-global-vessel-identity:v3.0
Wrangler,367170860,USA,United States of America,Fishing,Trawler,81.64472222222221,12e680b99-9fa2-976b-35ee-e71e43028c60,public-global-vessel-identity:v3.0
Pegasus,368572000,USA,United States of America,Fishing,Trawler,74.6405555555556,0ab88698d-dbc4-a7a8-6d52-f8b79fd69986,public-global-vessel-identity:v3.0
Miss Berdie,367341970,USA,United States of America,Fishing,Trawler,73.29722222222225,391a43b4a-a8fd-a521-e6ba-3d5ee37f057f,public-global-vessel-identity:v3.0
Ossian,366773410,USA,United States of America,Fishing,Trawler,70.43583333333335,a30ac482e-e863-001e-346f-7e9e4dc62ebe,public-global-vessel-identity:v3.0
Northern Ram,368371000,USA,United States of America,Fishing,Trawler,62.94611111111108,b32f754a6-68af-87a8-4102-e25b4442e462,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,61.518888888888895,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Pacific Ram,338494100,USA,United States of America,Fishing,Trawler,53.50194444444443,4a768058a-a4b8-35c3-27c7-4c0eee5ae936,public-global-vessel-identity:v3.0
Tabitha,368094990,USA,United States of America,Fishing,Trawler,49.95138888888888,173c23b2d-d925-c021-2ea8-5ba2e75585f2,public-global-vessel-identity:v3.0
Excalibur,367664560,USA,United States of America,Fishing,Trawler,48.91416666666668,a008da33f-fcb9-e953-1ee5-f0e7046bd69c,public-global-vessel-identity:v3.0
Alaska Ocean,368293000,USA,United States of America,Fishing,Trawler,47.92861111111112,1ea00063d-dec8-5259-30ec-4cf48dc1ed09,public-global-vessel-identity:v3.0
Last.Straw,366245070,USA,United States of America,Fishing,Trawler,47.79694444444446,f9c015f21-19a6-9f1d-fd35-c4a96ed2fcf3,public-global-vessel-identity:v3.0
