name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Traveler,367153430,USA,United States of America,Fishing,Trawler,319.4394444444443,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Michele Ann,367331060,USA,United States of America,Fishing,Fishing,261.11138888888894,e3ac855ed-d0da-f025-3d9f-6651cb921fd5,public-global-vessel-identity:v3.0
Miss Berdie,367341970,USA,United States of America,Fishing,Trawler,254.70416666666674,391a43b4a-a8fd-a521-e6ba-3d5ee37f057f,public-global-vessel-identity:v3.0
Seadawn,367372000,USA,United States of America,Fishing,Trawler,248.8841666666667,ed088ba72-243a-b3ed-fb66-3790930cfab4,public-global-vessel-identity:v3.0
Marathon,367085290,USA,United States of America,Fishing,Trawler,240.80305555555563,e7e88d830-0001-9d67-5620-ac72876ef65f,public-global-vessel-identity:v3.0
Perseverance,367618000,USA,United States of America,Fishing,Trawler,236.49472222222212,7e99a8fba-aa09-3c2c-c1eb-6d420c49318f,public-global-vessel-identity:v3.0
American Dynasty,368272000,USA,United States of America,Fishing,Trawler,225.04111111111106,60b6acf5e-e5f7-e7d9-fbd3-e663107983e2,public-global-vessel-identity:v3.0
Nordic Star,367056452,USA,United States of America,Fishing,Trawler,217.38222222222214,0b0834471-1991-45db-b747-ef98c090ce5d,public-global-vessel-identity:v3.0
Pacific Challenger,367326360,USA,United States of America,Fishing,Trawler,216.37888888888904,c50c30625-50b2-06ad-108e-58de59e7dcda,public-global-vessel-identity:v3.0
Leslie Lee,338603000,USA,United States of America,Fishing,Trawler,212.9930555555557,ffd866dd7-7f97-7cab-60a2-46d52b006e89,public-global-vessel-identity:v3.0
Hickory Wind,367504570,USA,United States of America,Fishing,Trawler,210.32055555555553,70d0a401b-b278-e9ee-5acc-bba255143fd3,public-global-vessel-identity:v3.0
Kodiak Enterprise,368038000,USA,United States of America,Fishing,Trawler,208.4044444444445,021512b04-4abb-120f-21bd-47f6d55f8e23,public-global-vessel-identity:v3.0
Arctic Fury,366468000,USA,United States of America,Fishing,Trawler,203.57749999999996,720db63ef-fb15-6d23-7893-d190ce3ec84d,public-global-vessel-identity:v3.0
Mandy J,367147830,USA,United States of America,Fishing,Trawler,202.93472222222223,caa87b920-0c58-b4a7-95ec-a31e0f4600ce,public-global-vessel-identity:v3.0
Coast Pride3333,367356180,USA,United States of America,Fishing,Fishing,193.35916666666668,eabdafce3-3e24-7654-16c7-4b7839ced37c,public-global-vessel-identity:v3.0
Lisa Melinda,366738920,USA,United States of America,Fishing,Trawler,180.80333333333326,c05e6e833-36b9-e4ed-a1cd-718f83506fdc,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,171.4313888888888,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Miss-Sarah,368206000,USA,United States of America,Fishing,Trawler,163.88305555555556,450f24d03-3933-5933-177e-956425510f8d,public-global-vessel-identity:v3.0
Alaska Ocean,368293000,USA,United States of America,Fishing,Trawler,161.61277777777792,1ea00063d-dec8-5259-30ec-4cf48dc1ed09,public-global-vessel-identity:v3.0
Muir Milach,367672390,USA,United States of America,Fishing,Trawler,156.97888888888892,4730b07a8-8377-06f2-24c0-79399bf2a64e,public-global-vessel-identity:v3.0
Arctic Fjord,366860000,USA,United States of America,Fishing,Trawler,145.75583333333333,1c342d7c3-3ffd-16e6-261a-bd1589ed6cb2,public-global-vessel-identity:v3.0
Phoenix,366946000,USA,United States of America,Fishing,Trawler,144.7133333333333,77ca7b27b-b0b9-3cae-4241-c26a07e7b461,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,137.92166666666662,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Western   Dawn,366264360,USA,United States of America,Fishing,Trawler,133.1494444444445,a3fcbc13b-b33b-b836-ef35-14e94f148e73,public-global-vessel-identity:v3.0
Arctic Storm,368555000,USA,United States of America,Fishing,Trawler,132.5611111111111,e05594fb2-20f2-3aba-083a-44be954535d2,public-global-vessel-identity:v3.0
Northern Eagle,368085000,USA,United States of America,Fishing,Trawler,116.25250000000003,a401e743a-a6e5-5102-c90e-c52bdcadddb1,public-global-vessel-identity:v3.0
Island Enterprise,368037000,USA,United States of America,Fishing,Trawler,116.19611111111108,c7e7f3ac5-55a1-072d-9dd6-e1ad6514f94c,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,115.70611111111113,cdd99513f-f276-e737-5e5e-cdc1492b1fdf,public-global-vessel-identity:v3.0
Pacific Miner,368071680,USA,United States of America,Fishing,Fishing,115.11055555555552,4c2fbb055-5cea-0c37-920e-7e06442d18d5,public-global-vessel-identity:v3.0
