name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Mandy J,367147830,USA,United States of America,Fishing,Trawler,332.1405555555555,caa87b920-0c58-b4a7-95ec-a31e0f4600ce,public-global-vessel-identity:v3.0
Western   Dawn,366264360,USA,United States of America,Fishing,Trawler,275.6586111111111,a3fcbc13b-b33b-b836-ef35-14e94f148e73,public-global-vessel-identity:v3.0
Pacific Dove,367171980,USA,United States of America,Fishing,Fishing,251.49222222222218,dcc11c79c-c22b-bab5-2178-8cc37d0867f0,public-global-vessel-identity:v3.0
Arctic Fury,366468000,USA,United States of America,Fishing,Trawler,235.31111111111116,9404aba9d-d82d-48e5-efed-9db27f9734e4,public-global-vessel-identity:v3.0
Pacific,366207650,USA,United States of America,Fishing,Trawler,172.47472222222225,fb0ff83f8-8cda-5ebd-41ed-80fffd40aa06,public-global-vessel-identity:v3.0
Miss Berdie,367341970,USA,United States of America,Fishing,Trawler,169.45,391a43b4a-a8fd-a521-e6ba-3d5ee37f057f,public-global-vessel-identity:v3.0
Seadawn,367372000,USA,United States of America,Fishing,Trawler,154.82083333333333,ed088ba72-243a-b3ed-fb66-3790930cfab4,public-global-vessel-identity:v3.0
Traveler,367153430,USA,United States of America,Fishing,Trawler,152.7788888888888,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Lady Hellen,367704820,USA,United States of America,Fishing,Fishing,139.3694444444444,93e78fc6f-f1ff-4913-4ba7-968db7f3a979,public-global-vessel-identity:v3.0
Excellence,338162000,USA,United States of America,Fishing,Trawler,133.61944444444455,f4c37b1e1-14cd-40b6-80ad-9a41580169fd,public-global-vessel-identity:v3.0
Last.Straw,366245070,USA,United States of America,Fishing,Trawler,130.6133333333333,f9c015f21-19a6-9f1d-fd35-c4a96ed2fcf3,public-global-vessel-identity:v3.0
Mark I,303636000,USA,United States of America,Fishing,Trawler,124.91111111111115,f7a79cf89-9fa8-93c7-5b74-b2ae8aaee39f,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,120.20388888888895,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Pearl J,367412590,USA,United States of America,Fishing,Fishing,106.15222222222224,3b924ae7d-dab5-2c3f-7329-4e9cba764410,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,103.24638888888892,cdd99513f-f276-e737-5e5e-cdc1492b1fdf,public-global-vessel-identity:v3.0
Patriot,367616260,USA,United States of America,Fishing,Trawler,100.05777777777782,05e9d2d1a-a955-f537-03fa-bd3971478751,public-global-vessel-identity:v3.0
